2024-04-11 17:06:06,859 INFO    MainThread:29278 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-11 17:06:06,860 INFO    MainThread:29278 [wandb_setup.py:_flush():76] Configure stats pid to 29278
2024-04-11 17:06:06,860 INFO    MainThread:29278 [wandb_setup.py:_flush():76] Loading settings from /home/bld/.config/wandb/settings
2024-04-11 17:06:06,860 INFO    MainThread:29278 [wandb_setup.py:_flush():76] Loading settings from /home/bld/HK_RL/RLagents_v3/wandb/settings
2024-04-11 17:06:06,860 INFO    MainThread:29278 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-11 17:06:06,860 INFO    MainThread:29278 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'scripts_0.py', 'program_abspath': '/home/bld/HK_RL/RLagents_v3/scripts_0.py', 'program': 'scripts_0.py'}
2024-04-11 17:06:06,860 INFO    MainThread:29278 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-11 17:06:06,860 INFO    MainThread:29278 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-11 17:06:06,860 INFO    MainThread:29278 [wandb_init.py:_log_setup():521] Logging user logs to /home/bld/HK_RL/RLagents_v3/wandb/run-20240411_170606-6miumnxx/logs/debug.log
2024-04-11 17:06:06,861 INFO    MainThread:29278 [wandb_init.py:_log_setup():522] Logging internal logs to /home/bld/HK_RL/RLagents_v3/wandb/run-20240411_170606-6miumnxx/logs/debug-internal.log
2024-04-11 17:06:06,861 INFO    MainThread:29278 [wandb_init.py:init():561] calling init triggers
2024-04-11 17:06:06,861 INFO    MainThread:29278 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.01, 'architecture': 'CNN', 'dataset': 'Random-map', 'epochs': 1000}
2024-04-11 17:06:06,861 INFO    MainThread:29278 [wandb_init.py:init():611] starting backend
2024-04-11 17:06:06,861 INFO    MainThread:29278 [wandb_init.py:init():615] setting up manager
2024-04-11 17:06:06,863 INFO    MainThread:29278 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-04-11 17:06:06,865 INFO    MainThread:29278 [wandb_init.py:init():623] backend started and connected
2024-04-11 17:06:06,874 INFO    MainThread:29278 [wandb_init.py:init():715] updated telemetry
2024-04-11 17:06:06,904 INFO    MainThread:29278 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-11 17:06:07,935 INFO    MainThread:29278 [wandb_run.py:_on_init():2357] communicating current version
2024-04-11 17:06:08,419 INFO    MainThread:29278 [wandb_run.py:_on_init():2366] got version response 
2024-04-11 17:06:08,421 INFO    MainThread:29278 [wandb_init.py:init():799] starting run threads in backend
2024-04-11 17:06:10,680 INFO    MainThread:29278 [wandb_run.py:_console_start():2335] atexit reg
2024-04-11 17:06:10,680 INFO    MainThread:29278 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-11 17:06:10,680 INFO    MainThread:29278 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-11 17:06:10,680 INFO    MainThread:29278 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-11 17:06:10,681 INFO    MainThread:29278 [wandb_init.py:init():842] run started, returning control to user process
